block_duration_min,start_hour,passenger_trains,goods_trains,special_trains,express_trains,regular_passenger_trains,corridor_congestion,peak_hour,criticality,maintenance_priority,traffic_impact_score
53,5,10,7,4,6,4,64,0,1,2,100.0
108,16,6,4,0,4,2,76,0,4,9,77.81
144,18,9,4,1,1,8,77,1,1,61,100.0
134,15,4,4,2,4,0,75,0,5,63,100.0
149,13,10,4,4,2,8,7,0,4,60,100.0
201,21,2,4,2,1,1,34,0,5,38,71.98
194,16,4,4,4,2,2,76,0,1,6,89.85
141,7,11,10,1,6,5,35,1,2,30,100.0
133,17,15,1,1,4,11,93,1,5,11,100.0
42,19,2,0,4,1,1,65,1,2,39,78.99
57,20,9,6,2,1,8,23,1,3,50,99.1
131,10,11,2,1,6,5,0,0,3,29,100.0
31,16,2,3,1,1,1,1,0,5,63,47.94
77,15,9,6,3,1,8,21,0,2,6,91.57
168,21,12,1,2,4,8,100,0,5,21,100.0
114,6,15,1,1,1,14,25,0,5,97,100.0
238,15,14,5,1,6,8,27,0,3,98,100.0
146,17,11,9,1,0,11,39,1,5,12,100.0
221,19,1,7,3,1,0,82,1,4,94,100.0
101,6,7,6,0,1,6,38,0,2,5,76.88
49,7,14,10,0,1,13,40,1,4,19,100.0
85,17,9,0,3,5,4,26,1,5,53,100.0
82,18,0,5,3,0,0,60,1,1,99,74.8
238,19,13,7,0,1,12,10,1,1,6,100.0
209,15,3,1,0,1,2,62,0,4,56,60.77
226,8,6,8,3,6,0,58,1,2,75,100.0
87,22,6,10,2,4,2,55,0,3,47,100.0
167,7,4,8,2,4,0,85,1,3,92,100.0
115,6,10,6,1,2,8,90,0,2,1,100.0
206,18,14,8,3,1,13,71,1,3,10,100.0
49,5,14,3,2,1,13,75,0,3,49,100.0
226,14,2,1,3,0,2,29,0,5,25,62.78
169,17,6,0,4,5,1,46,1,5,18,100.0
221,16,4,9,4,1,3,66,0,1,21,97.42
66,21,2,6,0,2,0,68,0,2,85,76.65
84,11,5,9,2,5,0,14,0,5,36,100.0
128,5,0,7,4,0,0,13,0,5,97,78.04
225,8,10,7,3,2,8,4,1,3,12,100.0
57,5,10,0,3,4,6,27,0,1,22,91.48
131,10,4,3,4,3,1,52,0,5,62,100.0
201,9,6,6,1,6,0,15,1,4,66,100.0
141,22,1,8,4,0,1,83,0,2,79,91.08
44,6,11,2,1,1,10,65,0,5,21,91.46
105,7,5,10,2,3,2,24,1,4,33,100.0
153,17,4,6,3,0,4,65,1,3,93,100.0
41,20,1,8,3,0,1,58,1,1,13,79.15
127,7,15,4,0,1,14,46,1,2,58,100.0
31,5,15,8,0,6,9,27,0,2,37,100.0
31,20,3,6,1,1,2,35,1,4,44,73.44
109,22,0,0,1,0,0,34,0,4,64,39.19
72,18,0,8,4,0,0,7,1,1,50,78.34
36,20,4,2,1,4,0,98,1,5,58,95.91
39,22,10,2,0,5,5,86,0,5,91,100.0
161,8,3,10,2,0,3,82,1,1,12,96.43
215,22,14,1,0,6,8,77,0,1,24,100.0
192,18,14,6,0,4,10,14,1,5,22,100.0
164,11,2,0,1,0,2,73,0,2,77,64.31
219,22,2,0,1,1,1,61,0,3,15,52.45
76,11,2,5,3,1,1,0,0,4,29,71.19
89,5,2,10,4,0,2,70,0,4,81,100.0
194,9,2,3,0,2,0,5,1,2,12,70.48
128,11,0,10,4,0,0,94,0,1,65,78.3
138,11,1,10,4,0,1,51,0,3,86,85.78
110,22,10,6,4,1,9,35,0,3,5,100.0
142,21,10,8,3,5,5,13,0,5,77,100.0
93,8,4,9,1,0,4,74,1,5,17,87.07
139,11,1,3,2,1,0,87,0,1,88,64.62
57,9,7,6,0,6,1,54,1,4,5,100.0
82,12,7,9,3,5,2,74,0,1,99,100.0
208,15,13,1,2,3,10,90,0,3,26,100.0
196,8,4,3,2,0,4,42,1,4,62,85.5
116,5,3,4,2,0,3,52,0,5,89,77.36
175,12,1,7,3,0,1,21,0,2,23,67.89
60,10,14,5,0,6,8,73,0,2,35,100.0
105,21,15,10,1,3,12,23,0,2,59,100.0
151,6,2,5,2,2,0,4,0,1,88,55.64
112,11,15,6,0,1,14,4,0,5,14,100.0
141,19,15,10,1,5,10,89,1,1,91,100.0
158,5,12,4,4,1,11,87,0,4,13,100.0
127,19,4,9,3,4,0,15,1,2,98,100.0
128,6,10,10,1,4,6,26,0,3,78,100.0
77,11,0,6,3,0,0,53,0,4,28,58.35
81,7,12,7,0,5,7,73,1,5,98,100.0
169,14,12,6,0,6,6,29,0,2,95,100.0
177,9,13,2,4,4,9,15,1,5,26,100.0
217,20,10,2,3,2,8,78,1,2,83,100.0
212,16,8,5,1,5,3,45,0,2,33,100.0
48,17,2,6,3,0,2,64,1,4,24,76.56
230,12,11,1,3,5,6,34,0,3,81,100.0
47,22,8,8,0,1,7,18,0,4,60,74.52
195,11,6,4,2,6,0,15,0,4,70,100.0
83,19,4,6,2,2,2,77,1,3,21,100.0
155,20,3,10,1,1,2,3,1,2,9,78.31
87,12,3,0,1,1,2,57,0,2,93,48.94
219,12,12,1,4,0,12,27,0,3,88,100.0
89,8,13,9,0,5,8,61,1,2,25,100.0
179,22,7,2,2,2,5,6,0,1,10,77.29
171,16,4,8,3,3,1,49,0,2,65,100.0
64,15,6,0,3,6,0,59,0,4,1,100.0
55,12,5,6,4,2,3,29,0,1,11,88.89
190,13,0,6,0,0,0,48,0,4,80,57.43
92,10,6,6,3,0,6,47,0,2,54,87.66
212,8,0,5,0,0,0,11,1,2,34,50.41
187,6,14,2,4,1,13,45,0,3,87,100.0
50,14,12,10,4,6,6,5,0,4,12,100.0
115,12,6,9,4,3,3,14,0,2,30,100.0
55,19,5,5,1,1,4,78,1,4,82,100.0
59,6,4,2,1,1,3,24,0,3,70,60.11
97,18,0,0,3,0,0,26,1,1,2,50.73
166,17,7,8,3,2,5,75,1,5,75,100.0
226,10,15,9,1,2,13,16,0,5,88,100.0
185,22,3,8,2,3,0,6,0,5,14,85.42
204,22,8,4,1,0,8,50,0,5,18,99.26
193,16,12,5,1,4,8,13,0,5,26,100.0
30,16,12,7,2,0,12,33,0,4,23,99.17
224,18,15,8,4,0,15,35,1,3,22,100.0
68,5,14,6,4,4,10,32,0,5,13,100.0
179,5,6,3,0,3,3,89,0,1,67,89.73
216,6,6,10,2,5,1,13,0,4,34,100.0
122,13,12,5,1,1,11,78,0,5,10,100.0
131,5,6,7,1,5,1,13,0,1,23,91.95
125,8,2,7,1,1,1,25,1,4,64,83.38
152,7,5,4,4,1,4,4,1,5,42,100.0
111,15,9,5,4,2,7,1,0,3,11,100.0
173,7,1,10,3,1,0,35,1,2,69,95.0
195,19,0,9,4,0,0,63,1,5,28,100.0
69,7,0,0,4,0,0,56,1,2,66,64.33
200,6,7,3,4,5,2,29,0,4,16,100.0
81,10,15,9,0,1,14,89,0,2,22,100.0
73,15,6,10,0,2,4,77,0,1,5,74.91
35,22,3,4,2,1,2,25,0,1,86,55.77
201,22,12,0,3,2,10,95,0,2,58,100.0
152,9,11,9,2,3,8,23,1,1,38,100.0
56,10,15,0,1,6,9,80,0,2,73,100.0
203,16,14,10,1,4,10,48,0,3,43,100.0
186,5,5,7,3,3,2,14,0,4,65,100.0
113,21,1,8,2,0,1,60,0,2,66,72.28
131,13,11,5,0,4,7,66,0,1,37,100.0
203,11,2,3,1,0,2,98,0,5,20,74.66
188,7,2,10,3,0,2,7,1,4,25,88.22
44,15,10,10,2,2,8,13,0,2,75,100.0
173,7,15,1,2,6,9,54,1,3,22,100.0
53,11,14,4,1,6,8,32,0,3,65,100.0
167,21,4,2,3,0,4,94,0,4,29,89.69
96,11,7,2,3,5,2,96,0,2,17,100.0
62,6,7,9,0,5,2,67,0,4,49,100.0
198,19,5,5,2,5,0,95,1,3,75,100.0
56,19,5,2,4,0,5,27,1,3,96,84.07
57,13,11,8,3,1,10,36,0,4,42,100.0
221,19,8,0,4,6,2,55,1,1,54,100.0
158,17,5,7,3,2,3,80,1,4,37,100.0
90,13,12,8,1,0,12,56,0,2,47,100.0
52,5,8,3,2,6,2,82,0,4,69,100.0
96,16,13,8,3,0,13,84,0,1,98,100.0
106,9,14,4,4,4,10,71,1,4,12,100.0
91,12,14,0,4,4,10,88,0,1,34,100.0
233,6,8,5,0,3,5,86,0,4,30,100.0
135,11,5,10,2,5,0,23,0,1,27,100.0
141,17,14,1,2,4,10,18,1,1,9,100.0
219,18,10,7,3,1,9,64,1,3,63,100.0
221,20,14,3,4,6,8,90,1,1,85,100.0
86,14,3,6,2,1,2,63,0,1,53,78.26
226,16,15,1,4,1,14,80,0,2,69,100.0
200,13,9,3,4,1,8,57,0,5,47,100.0
201,17,7,1,3,2,5,69,1,2,64,100.0
126,22,3,0,0,2,1,79,0,5,97,74.33
63,5,4,2,2,0,4,56,0,5,89,72.74
207,15,13,5,0,6,7,68,0,3,10,100.0
136,17,6,4,1,2,4,41,1,3,25,99.2
179,14,2,7,0,1,1,23,0,5,64,70.33
83,5,2,4,3,2,0,20,0,1,19,59.18
102,11,4,0,4,1,3,8,0,4,28,67.11
168,22,0,2,1,0,0,63,0,5,52,46.12
174,9,4,9,1,1,3,85,1,1,6,98.87
93,8,2,0,1,1,1,83,1,3,37,68.31
62,7,9,6,3,6,3,98,1,4,14,100.0
128,13,15,2,4,2,13,31,0,5,31,100.0
172,13,5,6,2,0,5,4,0,5,67,75.0
228,20,2,7,2,0,2,0,1,4,47,80.52
75,15,12,3,3,1,11,90,0,5,86,100.0
32,11,2,0,3,0,2,11,0,2,90,42.57
207,6,13,6,1,1,12,75,0,1,54,100.0
89,14,15,0,0,5,10,93,0,2,52,100.0
89,16,5,7,3,3,2,35,0,2,56,93.37
100,11,1,10,3,0,1,28,0,2,78,68.45
214,20,10,3,1,2,8,62,1,2,87,100.0
127,8,1,5,0,1,0,89,1,3,7,83.08
127,21,9,4,1,2,7,11,0,1,72,83.84
136,22,7,10,4,2,5,70,0,3,13,100.0
70,5,13,5,0,0,13,11,0,3,82,95.24
185,15,5,10,4,4,1,55,0,4,89,100.0
45,15,12,2,2,4,8,66,0,2,84,100.0
103,16,12,6,3,1,11,61,0,2,37,100.0
89,22,1,5,4,0,1,82,0,2,58,68.86
135,18,11,10,0,6,5,61,1,5,30,100.0
203,14,7,4,4,1,6,66,0,2,36,100.0
221,21,6,0,1,3,3,13,0,2,43,74.78
231,22,9,5,2,5,4,30,0,1,100,100.0
209,11,15,4,1,6,9,7,0,2,86,100.0
226,22,4,8,0,0,4,65,0,5,82,86.79
222,14,7,8,1,1,6,91,0,1,99,100.0
210,11,4,1,1,0,4,73,0,1,3,63.19
192,19,11,2,3,4,7,79,1,4,19,100.0
165,22,9,7,4,5,4,15,0,3,68,100.0
181,17,11,9,2,1,10,11,1,4,90,100.0
190,10,13,10,0,4,9,20,0,1,27,100.0
190,15,2,2,4,2,0,95,0,2,89,100.0
226,12,3,0,3,2,1,52,0,4,90,82.08
184,15,12,1,3,5,7,11,0,5,21,100.0
85,10,15,3,4,4,11,16,0,4,91,100.0
174,20,8,1,1,4,4,83,1,4,30,100.0
49,20,15,0,3,3,12,41,1,4,14,100.0
108,6,9,10,4,2,7,69,0,3,47,100.0
199,9,3,1,1,2,1,35,1,2,45,75.69
98,5,1,6,1,0,1,81,0,4,36,50.83
224,22,2,9,0,2,0,49,0,1,63,82.93
131,6,9,10,2,3,6,45,0,1,15,100.0
129,12,11,7,1,0,11,78,0,4,98,100.0
230,22,9,7,0,4,5,13,0,3,88,100.0
121,6,4,10,1,3,1,91,0,5,31,100.0
158,16,5,6,1,5,0,46,0,2,21,90.17
118,18,10,8,4,4,6,27,1,1,57,100.0
83,6,0,1,4,0,0,28,0,3,56,57.65
168,5,1,10,1,1,0,79,0,1,47,75.26
117,13,4,6,0,1,3,55,0,4,51,69.83
190,7,10,1,4,5,5,8,1,5,32,100.0
93,7,1,4,1,1,0,58,1,3,50,75.02
113,7,6,1,3,6,0,24,1,5,12,100.0
75,22,13,1,2,6,7,75,0,5,1,100.0
179,9,9,8,4,4,5,43,1,3,46,100.0
156,14,8,7,1,4,4,64,0,1,85,100.0
226,10,11,4,2,2,9,2,0,5,54,100.0
189,7,15,7,2,2,13,85,1,3,49,100.0
223,20,15,9,2,1,14,3,1,3,73,100.0
36,5,11,9,2,5,6,37,0,3,40,100.0
239,6,11,6,2,2,9,87,0,3,99,100.0
47,20,3,7,0,1,2,29,1,1,25,57.58
201,5,1,7,4,0,1,94,0,3,90,100.0
65,20,14,10,4,6,8,62,1,1,22,100.0
62,17,11,4,0,1,10,62,1,4,17,100.0
88,13,1,2,3,0,1,13,0,5,10,55.5
183,22,5,4,0,5,0,60,0,4,70,96.16
138,15,6,8,3,5,1,30,0,4,40,100.0
110,22,10,4,4,6,4,93,0,4,61,100.0
58,17,0,8,4,0,0,51,1,3,61,86.23
238,9,9,10,1,1,8,88,1,1,97,100.0
86,8,10,5,0,6,4,88,1,5,7,100.0
71,11,0,7,2,0,0,33,0,5,15,60.37
135,22,9,2,3,0,9,32,0,1,69,85.81
199,19,11,3,1,6,5,52,1,3,73,100.0
172,17,9,3,1,1,8,98,1,3,73,100.0
43,7,14,9,1,3,11,28,1,3,99,100.0
227,14,14,0,2,0,14,66,0,1,53,100.0
90,9,5,3,4,1,4,51,1,4,99,100.0
101,17,5,1,1,4,1,100,1,5,81,100.0
174,14,8,5,0,3,5,95,0,5,34,100.0
199,5,4,9,3,2,2,77,0,1,62,100.0
137,7,4,1,2,1,3,7,1,1,21,60.91
158,11,1,6,3,1,0,88,0,2,89,81.52
90,21,3,2,3,3,0,44,0,5,40,92.29
85,5,5,4,0,2,3,100,0,1,30,82.17
139,21,14,9,0,5,9,32,0,3,92,100.0
108,18,9,3,3,5,4,31,1,5,90,100.0
206,7,12,7,2,3,9,80,1,3,21,100.0
157,17,11,5,0,2,9,48,1,1,20,100.0
200,14,9,6,2,4,5,0,0,5,56,100.0
170,9,3,6,0,1,2,42,1,2,87,83.23
128,14,4,5,4,0,4,42,0,3,26,81.69
80,20,8,8,0,4,4,90,1,4,57,100.0
31,6,12,9,0,5,7,64,0,3,99,100.0
87,14,10,1,3,4,6,85,0,2,73,100.0
135,22,15,7,1,4,11,8,0,5,94,100.0
164,14,8,3,3,3,5,48,0,2,60,100.0
149,9,12,4,0,5,7,99,1,5,28,100.0
67,10,7,4,4,6,1,18,0,4,65,100.0
57,11,4,2,2,0,4,13,0,5,88,62.71
198,21,7,2,2,2,5,18,0,4,44,86.83
127,10,9,0,4,4,5,58,0,4,86,100.0
102,20,9,9,2,3,6,43,1,5,46,100.0
176,11,1,0,3,1,0,71,0,5,93,75.0
231,19,3,3,4,0,3,13,1,1,68,85.71
104,13,5,3,1,3,2,41,0,3,94,83.02
39,21,3,5,1,2,1,15,0,2,5,50.08
215,8,12,7,1,2,10,5,1,4,29,100.0
192,11,2,8,1,1,1,41,0,1,96,67.65
118,18,4,3,4,3,1,6,1,4,86,100.0
230,5,6,3,3,4,2,20,0,2,87,100.0
226,13,9,7,1,4,5,96,0,4,47,100.0
223,5,3,10,4,2,1,5,0,3,32,94.92
124,13,11,2,2,2,9,26,0,4,23,100.0
219,10,0,9,1,0,0,46,0,1,34,64.66
54,5,10,8,3,1,9,46,0,3,23,100.0
179,6,14,4,1,1,13,94,0,5,94,100.0
190,9,12,5,3,1,11,24,1,1,75,100.0
81,9,0,1,2,0,0,81,1,3,11,52.66
64,7,10,0,3,6,4,69,1,3,96,100.0
177,22,5,10,0,2,3,74,0,3,16,99.93
240,10,8,10,1,1,7,52,0,4,100,100.0
177,8,12,2,3,2,10,1,1,3,84,100.0
202,9,5,6,2,2,3,95,1,1,85,100.0
174,12,8,8,4,1,7,61,0,1,65,100.0
109,17,15,0,3,6,9,84,1,2,58,100.0
68,20,9,10,2,0,9,9,1,2,86,100.0
47,18,2,0,3,0,2,86,1,4,44,65.77
117,22,8,0,3,4,4,83,0,3,20,100.0
214,10,2,8,0,0,2,32,0,1,2,59.53
112,20,0,8,4,0,0,21,1,2,82,75.35
228,18,5,10,2,2,3,16,1,4,96,100.0
224,18,2,0,3,2,0,42,1,1,87,79.77
162,20,4,8,0,0,4,71,1,5,90,96.05
83,11,9,10,2,5,4,61,0,2,77,100.0
207,9,6,3,2,1,5,49,1,3,31,96.2
163,18,2,0,1,0,2,23,1,3,53,66.89
223,14,6,6,4,2,4,27,0,4,10,100.0
206,18,9,0,3,5,4,9,1,2,74,100.0
94,16,3,0,2,2,1,12,0,4,94,59.63
153,15,15,5,1,6,9,95,0,3,15,100.0
114,18,11,10,3,0,11,67,1,2,20,100.0
72,22,3,0,3,1,2,24,0,4,64,58.87
78,12,6,9,0,1,5,22,0,2,39,78.49
127,10,15,1,4,0,15,13,0,1,8,100.0
233,20,3,7,4,0,3,58,1,1,62,100.0
187,16,7,6,4,3,4,97,0,1,17,100.0
215,21,15,7,3,4,11,61,0,4,61,100.0
122,6,10,6,3,2,8,89,0,2,82,100.0
185,16,4,7,2,2,2,0,0,2,50,78.89
84,15,6,2,2,1,5,71,0,3,41,73.52
147,8,3,6,1,3,0,83,1,1,83,100.0
232,12,11,4,4,1,10,22,0,3,74,100.0
68,11,13,7,4,0,13,68,0,2,13,100.0
48,10,14,2,4,1,13,73,0,3,16,100.0
106,17,4,7,3,0,4,21,1,5,1,89.19
204,14,6,0,3,5,1,51,0,2,66,100.0
46,20,14,8,0,3,11,2,1,2,88,100.0
53,13,11,1,4,5,6,74,0,1,55,100.0
168,18,15,10,4,3,12,62,1,1,95,100.0
88,9,11,6,1,6,5,79,1,2,89,100.0
164,9,7,10,3,0,7,83,1,1,51,100.0
30,12,9,9,1,6,3,40,0,5,28,100.0
232,8,0,7,1,0,0,6,1,5,78,76.03
173,5,14,1,2,4,10,68,0,3,96,100.0
205,18,13,0,3,0,13,20,1,3,91,100.0
37,15,12,8,3,3,9,3,0,5,33,100.0
150,14,5,3,0,3,2,44,0,3,88,81.69
200,18,7,9,3,0,7,87,1,5,61,100.0
177,15,4,10,2,2,2,23,0,1,40,90.19
72,19,11,1,1,2,9,77,1,1,6,95.94
217,20,3,0,4,3,0,20,1,5,33,96.32
50,20,7,6,1,6,1,64,1,1,44,100.0
84,9,9,3,4,0,9,6,1,3,52,100.0
190,5,15,5,3,0,15,75,0,4,91,100.0
168,18,3,7,3,3,0,4,1,3,30,100.0
186,8,6,2,2,6,0,89,1,4,64,100.0
231,17,10,8,0,6,4,59,1,5,74,100.0
103,21,10,4,2,5,5,36,0,5,59,100.0
210,9,10,3,0,2,8,9,1,1,18,83.36
232,13,14,8,4,3,11,34,0,5,47,100.0
164,17,14,2,1,3,11,67,1,1,13,100.0
103,7,3,1,2,0,3,65,1,3,7,67.47
127,11,10,0,4,3,7,71,0,4,94,100.0
173,19,13,8,4,2,11,28,1,3,42,100.0
116,20,0,10,2,0,0,25,1,5,26,76.07
32,11,13,7,3,0,13,57,0,5,97,100.0
90,18,5,9,2,0,5,24,1,4,88,100.0
210,22,6,4,3,5,1,79,0,1,53,100.0
65,19,7,10,0,4,3,25,1,1,21,96.35
195,5,12,7,0,2,10,45,0,2,57,100.0
88,9,13,1,4,2,11,10,1,1,89,100.0
66,12,13,3,2,4,9,89,0,2,37,100.0
113,9,15,0,3,1,14,95,1,3,88,100.0
215,12,7,6,2,1,6,27,0,2,77,96.52
33,10,12,5,0,2,10,55,0,2,16,92.97
87,12,12,2,0,6,6,53,0,5,45,100.0
163,16,10,10,3,1,9,72,0,1,95,100.0
86,11,9,8,1,3,6,32,0,3,23,100.0
100,5,0,5,3,0,0,89,0,3,63,65.47
84,20,10,2,3,0,10,59,1,5,44,100.0
46,15,5,10,3,0,5,87,0,5,66,100.0
73,12,0,7,3,0,0,46,0,5,35,67.79
214,18,15,7,2,3,12,51,1,1,97,100.0
58,21,13,10,3,4,9,22,0,4,43,100.0
48,16,0,10,2,0,0,44,0,1,75,62.84
230,12,14,1,0,6,8,35,0,4,60,100.0
135,18,9,5,2,6,3,85,1,2,64,100.0
149,9,5,1,2,2,3,39,1,2,70,99.41
150,14,15,5,0,3,12,22,0,3,40,100.0
148,8,4,9,4,1,3,16,1,5,80,100.0
174,22,3,4,4,2,1,88,0,2,78,100.0
66,13,15,1,4,3,12,0,0,3,16,100.0
145,18,9,1,2,0,9,57,1,1,4,92.8
34,18,12,2,3,4,8,43,1,3,3,100.0
160,14,9,1,0,0,9,93,0,4,64,89.72
72,10,4,1,3,3,1,43,0,3,68,78.69
149,21,12,10,2,5,7,51,0,3,70,100.0
51,16,12,6,4,2,10,78,0,2,59,100.0
35,16,12,2,1,2,10,38,0,4,5,91.86
145,16,7,5,1,6,1,40,0,4,69,100.0
180,5,12,6,1,2,10,73,0,3,67,100.0
67,7,8,3,0,4,4,95,1,4,50,100.0
175,12,9,1,3,2,7,96,0,2,60,100.0
176,20,5,5,0,4,1,70,1,4,91,100.0
76,19,13,2,4,0,13,42,1,5,100,100.0
47,14,15,4,2,6,9,58,0,2,62,100.0
95,14,5,7,2,0,5,26,0,1,99,77.97
38,8,0,1,0,0,0,60,1,1,54,34.54
86,7,7,1,0,1,6,44,1,4,59,86.58
147,20,2,1,1,0,2,84,1,2,8,68.39
96,9,14,0,1,4,10,49,1,4,32,100.0
89,9,12,6,1,0,12,47,1,2,47,100.0
127,9,4,9,3,2,2,10,1,3,31,100.0
196,20,4,8,0,3,1,83,1,1,46,100.0
176,8,12,8,3,3,9,14,1,2,69,100.0
119,16,1,2,4,1,0,4,0,4,20,68.59
222,21,4,4,0,2,2,19,0,3,92,74.13
57,14,15,4,3,1,14,97,0,3,74,100.0
146,15,7,5,1,3,4,36,0,5,43,100.0
62,16,5,10,2,3,2,1,0,5,66,94.32
105,20,0,7,0,0,0,59,1,4,27,62.27
232,11,13,6,0,4,9,84,0,1,48,100.0
46,15,9,7,1,4,5,33,0,1,24,99.2
175,15,11,5,1,0,11,2,0,1,73,90.32
170,11,12,3,3,3,9,3,0,1,44,100.0
161,14,11,5,0,3,8,3,0,5,9,93.16
51,19,8,9,1,4,4,22,1,2,21,100.0
210,22,14,1,2,4,10,94,0,3,46,100.0
95,20,3,7,2,2,1,84,1,4,7,93.01
49,20,3,1,0,0,3,90,1,5,2,57.26
225,14,6,3,3,0,6,48,0,1,79,88.05
144,22,14,2,4,5,9,22,0,1,59,100.0
103,20,15,9,1,5,10,28,1,4,57,100.0
237,18,2,1,3,2,0,89,1,4,15,100.0
134,19,13,6,3,5,8,13,1,3,61,100.0
57,21,14,1,4,6,8,18,0,1,16,100.0
143,22,7,7,2,4,3,62,0,3,39,100.0
110,17,2,10,4,0,2,20,1,2,64,92.86
183,12,9,6,3,2,7,66,0,5,42,100.0
59,22,11,1,1,3,8,28,0,4,21,89.08
49,11,15,9,3,4,11,25,0,1,13,100.0
155,20,6,5,2,2,4,53,1,2,49,100.0
175,11,8,7,4,5,3,34,0,3,7,100.0
209,11,6,3,3,3,3,5,0,2,50,96.52
56,11,15,6,0,0,15,28,0,3,24,93.46
78,11,2,9,0,1,1,89,0,2,76,64.92
149,5,3,0,1,1,2,65,0,5,39,57.63
170,5,7,7,1,3,4,8,0,1,11,92.16
169,6,3,9,3,1,2,19,0,4,2,82.2
202,22,2,9,2,2,0,90,0,5,95,100.0
171,16,3,8,3,3,0,97,0,4,52,100.0
154,14,10,1,1,2,8,95,0,5,72,100.0
117,22,4,7,1,1,3,26,0,4,58,83.16
137,22,7,2,3,4,3,70,0,4,23,100.0
61,13,12,1,0,0,12,49,0,3,2,68.6
195,22,5,5,3,1,4,86,0,4,79,100.0
138,19,15,4,2,3,12,41,1,5,76,100.0
174,18,0,3,1,0,0,55,1,2,97,66.38
94,22,6,7,4,5,1,47,0,2,30,100.0
79,18,14,1,3,6,8,36,1,3,1,100.0
88,12,10,7,0,3,7,58,0,2,53,100.0
126,8,12,4,3,1,11,23,1,1,44,100.0
190,18,3,5,4,0,3,82,1,2,64,100.0
123,9,7,0,1,5,2,84,1,5,27,100.0
223,7,3,0,1,3,0,89,1,3,26,89.28
57,20,11,10,4,6,5,18,1,3,19,100.0
76,10,2,1,4,2,0,34,0,1,1,59.4
236,9,11,2,0,3,8,34,1,2,96,100.0
103,18,8,8,0,4,4,51,1,5,33,100.0
62,16,12,3,3,5,7,74,0,5,60,100.0
222,12,0,5,1,0,0,0,0,5,93,58.38
229,18,11,6,4,3,8,40,1,1,70,100.0
189,5,4,10,2,3,1,21,0,2,22,96.32
86,21,14,7,3,4,10,29,0,5,80,100.0
162,6,12,8,1,0,12,27,0,2,47,97.2
114,7,14,0,4,0,14,46,1,5,86,100.0
85,7,12,4,4,5,7,24,1,4,70,100.0
45,21,11,0,3,4,7,6,0,1,68,92.86
191,13,2,5,3,0,2,18,0,1,80,62.06
137,11,3,10,0,1,2,15,0,1,21,61.47
118,7,10,8,1,6,4,95,1,2,61,100.0
184,8,11,8,2,3,8,58,1,5,35,100.0
76,20,5,1,3,5,0,77,1,5,20,100.0
117,6,14,5,1,1,13,1,0,5,11,100.0
110,12,15,3,2,0,15,15,0,2,93,95.34
89,16,14,4,3,2,12,26,0,4,48,100.0
70,6,10,3,4,0,10,47,0,1,35,93.11
200,15,0,4,3,0,0,73,0,2,70,74.51
168,11,1,5,4,1,0,46,0,3,76,75.13
121,7,4,1,1,4,0,51,1,5,70,99.23
69,6,5,5,2,1,4,5,0,1,29,67.99
51,15,0,7,4,0,0,11,0,3,51,70.3
51,17,8,10,0,1,7,10,1,5,36,99.62
158,6,6,2,4,1,5,15,0,3,17,86.53
154,20,2,0,4,1,1,54,1,5,33,79.09
200,9,10,1,3,4,6,27,1,1,3,100.0
170,14,12,5,3,5,7,33,0,2,25,100.0
75,14,11,4,2,6,5,32,0,1,91,100.0
236,7,6,5,2,2,4,92,1,3,24,100.0
77,19,4,6,0,4,0,31,1,2,68,94.36
108,22,6,5,4,4,2,83,0,5,48,100.0
58,6,2,7,3,0,2,15,0,3,56,65.25
144,9,12,5,3,4,8,24,1,4,23,100.0
212,8,15,7,1,2,13,78,1,3,88,100.0
32,21,8,9,1,6,2,48,0,3,56,100.0
127,17,1,1,3,1,0,0,1,5,49,77.96
126,18,5,2,1,2,3,53,1,2,74,82.49
218,19,3,5,0,2,1,24,1,1,78,85.66
218,7,15,7,4,4,11,91,1,4,91,100.0
30,5,6,9,0,5,1,54,0,1,64,95.89
168,18,3,0,3,2,1,75,1,3,39,100.0
99,7,13,9,1,6,7,25,1,5,9,100.0
64,6,8,2,0,2,6,91,0,1,68,77.88
35,8,14,4,4,6,8,26,1,5,28,100.0
138,7,4,8,0,1,3,17,1,4,83,76.76
103,21,1,7,1,0,1,36,0,4,91,73.44
86,20,9,7,2,1,8,33,1,2,42,100.0
157,18,0,5,2,0,0,99,1,1,48,81.38
35,11,11,3,4,2,9,88,0,2,100,100.0
79,21,8,1,4,2,6,74,0,3,53,100.0
85,20,1,7,2,1,0,8,1,3,81,70.88
188,22,12,10,2,6,6,84,0,4,30,100.0
50,19,11,1,2,3,8,54,1,2,13,100.0
73,10,12,6,2,0,12,55,0,1,53,96.42
135,6,2,10,4,2,0,24,0,1,90,95.78
129,12,12,0,1,0,12,35,0,5,17,87.42
46,5,4,3,3,4,0,81,0,5,77,100.0
53,22,5,10,3,5,0,62,0,3,57,100.0
181,5,12,0,1,5,7,18,0,1,73,100.0
185,7,10,2,0,2,8,73,1,3,49,100.0
97,17,1,10,4,0,1,30,1,5,41,100.0
120,11,5,8,1,1,4,64,0,4,33,89.17
97,8,8,1,4,1,7,72,1,3,52,100.0
140,15,0,8,2,0,0,69,0,3,83,70.04
87,17,1,6,2,0,1,70,1,1,77,73.6
79,9,14,4,1,2,12,3,1,5,27,100.0
104,5,0,3,0,0,0,1,0,1,99,32.08
104,6,10,6,1,2,8,67,0,5,33,100.0
