asset_id,department,asset_type,criticality,health_score,failure_risk,asset_age_years,days_since_inspection,defect_count,urgent_defect_count,max_safety_impact,repeat_failure,maintenance_count,corrective_maintenance_count,previous_failure_count,urgent_maintenance
ML-01252,TRD,Transformer,4,92.63,26.39,6.1,77,3,0,1,0,4,1,1,0
ML-01253,TRD,Transformer,2,96.43,19.44,7.1,139,1,1,1,0,7,1,2,0
ML-01254,TRD,OHE,5,85.16,51.17,8.9,68,1,0,3,0,4,2,3,1
ML-01255,TRD,OHE,2,63.95,51.12,18.8,161,0,0,0,0,4,2,0,1
ML-01256,ENGINEERING,Track,2,63.28,47.12,21.8,43,0,0,0,0,4,1,0,0
ML-01257,ENGINEERING,Bridge,5,83.04,50.17,5.9,54,0,0,0,1,4,1,2,0
ML-01258,TRD,Section Insulator,4,74.35,40.08,4.8,59,1,1,2,1,4,2,1,1
ML-01259,ENGINEERING,Bridge,4,81.27,49.51,22.7,67,0,0,0,0,5,4,1,0
ML-01260,ENGINEERING,Point & Crossing,1,83.41,23.4,8.0,146,4,0,3,0,6,2,0,1
ML-01261,TRD,Section Insulator,3,80.96,33.1,3.3,92,5,0,3,0,3,1,2,0
ML-01262,S&T,Point Machine,4,68.79,57.56,16.1,49,0,0,0,0,1,0,0,1
ML-01263,ENGINEERING,Point & Crossing,4,71.67,57.73,11.9,181,0,0,0,0,3,0,1,1
ML-01264,S&T,Signal,3,76.12,46.52,9.8,93,5,0,3,0,6,4,0,0
ML-01265,ENGINEERING,Point & Crossing,2,70.48,42.89,15.1,17,0,0,0,0,8,2,4,0
ML-01266,TRD,Section Insulator,3,77.79,38.4,13.4,40,1,0,3,1,4,1,1,0
ML-01267,ENGINEERING,Bridge,3,58.82,68.36,18.0,48,1,1,3,1,4,3,1,0
ML-01268,TRD,OHE,4,59.03,75.03,27.7,164,2,1,2,1,3,2,2,1
ML-01269,S&T,Axle Counter,5,75.46,53.45,9.4,84,0,0,0,0,2,2,0,1
ML-01270,ENGINEERING,Point & Crossing,5,50.45,71.83,16.0,107,3,1,5,0,3,2,1,0
ML-01271,S&T,Signal,2,50.41,66.47,28.1,244,2,1,3,1,2,1,0,1
ML-01272,ENGINEERING,Track,3,92.09,20.52,4.1,46,2,0,3,0,4,2,1,0
ML-01273,S&T,Axle Counter,2,57.63,57.8,23.5,13,1,0,5,1,5,4,4,0
ML-01274,ENGINEERING,Point & Crossing,4,76.62,38.34,14.6,115,1,0,1,1,4,1,1,0
ML-01275,TRD,OHE,2,85.19,23.85,10.2,49,0,0,0,0,6,2,2,0
ML-01276,TRD,Section Insulator,4,81.52,41.96,11.2,138,1,0,2,1,6,1,3,0
ML-01277,S&T,Point Machine,3,84.98,25.64,4.2,30,0,0,0,1,1,0,0,0
ML-01278,S&T,Signal,3,60.89,53.05,21.2,41,2,0,2,1,1,0,0,0
ML-01279,TRD,Transformer,3,93.95,21.02,8.4,12,4,1,3,1,2,0,0,0
ML-01280,ENGINEERING,Bridge,2,68.38,42.22,11.1,55,1,0,4,0,3,1,2,0
ML-01281,TRD,OHE,4,88.0,36.63,7.7,177,0,0,0,1,5,1,2,1
ML-01282,ENGINEERING,Bridge,3,59.17,58.43,20.5,94,1,0,2,0,4,1,1,0
ML-01283,S&T,Signal,3,84.67,38.55,16.6,83,1,0,3,1,4,3,1,0
ML-01284,ENGINEERING,Point & Crossing,2,96.82,4.36,1.3,39,3,1,3,0,1,0,0,0
ML-01285,S&T,Axle Counter,4,70.06,52.82,12.0,22,1,0,1,1,4,2,1,0
ML-01286,S&T,Point Machine,1,91.68,29.36,13.0,70,1,0,3,0,1,1,1,0
ML-01287,TRD,Section Insulator,5,76.43,50.13,11.2,21,1,1,3,1,1,0,1,0
ML-01288,ENGINEERING,Point & Crossing,4,64.64,46.41,13.8,44,1,1,1,0,2,1,0,0
ML-01289,ENGINEERING,Track,3,43.49,73.74,25.5,35,2,0,4,1,1,1,0,0
ML-01290,S&T,Point Machine,3,94.52,37.36,5.8,30,2,0,1,0,1,0,1,0
ML-01291,S&T,Axle Counter,4,83.11,43.11,14.5,31,1,0,4,0,6,4,0,0
ML-01292,TRD,OHE,3,83.69,19.18,10.5,44,1,0,3,0,0,0,0,0
ML-01293,TRD,OHE,4,58.18,69.37,20.9,38,1,1,3,1,2,1,0,0
ML-01294,ENGINEERING,Track,3,71.86,34.16,6.7,46,1,0,3,1,2,2,0,0
ML-01295,TRD,Transformer,3,75.45,41.84,13.0,48,1,0,2,1,3,2,0,0
ML-01296,TRD,Section Insulator,2,87.39,22.5,8.0,35,2,0,3,0,4,1,1,0
ML-01297,S&T,Signal,5,77.14,51.09,12.2,120,0,0,0,0,4,3,1,0
ML-01298,ENGINEERING,Bridge,3,86.13,35.88,8.6,79,1,0,3,0,3,2,1,0
ML-01299,ENGINEERING,Track,1,76.52,30.52,15.4,52,2,0,2,0,1,0,0,0
ML-01300,ENGINEERING,Point & Crossing,3,75.21,48.62,13.8,135,2,1,3,0,7,4,1,0
ML-01301,S&T,Signal,4,68.79,54.35,19.4,37,2,0,4,0,4,2,1,0
ML-01302,S&T,Point Machine,4,62.26,63.09,21.0,71,1,0,2,1,1,0,1,0
ML-01303,S&T,Signal,3,50.31,68.33,26.5,127,2,0,1,1,5,3,4,1
ML-01304,S&T,Axle Counter,1,93.4,10.61,8.9,72,1,1,2,0,5,2,1,0
ML-01305,TRD,Section Insulator,5,66.2,58.02,9.2,112,1,0,3,0,3,2,1,1
ML-01306,TRD,OHE,3,72.85,35.82,4.3,73,1,0,5,0,3,2,1,0
ML-01307,ENGINEERING,Point & Crossing,1,83.85,13.68,8.3,39,0,0,0,0,1,0,0,0
ML-01308,TRD,Transformer,3,85.5,42.68,16.7,119,0,0,0,0,3,0,1,0
ML-01309,ENGINEERING,Bridge,3,59.88,53.84,21.8,124,4,1,3,1,2,1,0,0
ML-01310,S&T,Point Machine,4,76.7,41.53,7.1,121,2,0,1,0,4,3,1,0
ML-01311,S&T,Axle Counter,3,85.66,29.7,5.4,99,2,0,3,0,3,2,2,0
ML-01312,ENGINEERING,Track,3,74.33,40.67,12.2,151,2,0,4,0,4,2,1,1
ML-01313,S&T,Axle Counter,4,78.18,46.8,9.6,53,4,1,4,0,1,0,1,0
ML-01314,TRD,OHE,5,84.71,43.85,9.6,32,1,0,3,1,3,0,2,0
ML-01315,TRD,OHE,3,70.52,48.91,17.6,114,3,1,3,0,3,2,1,0
ML-01316,S&T,Point Machine,1,81.32,21.75,15.5,63,1,0,2,0,5,2,1,0
ML-01317,ENGINEERING,Bridge,4,87.06,37.27,6.3,91,2,0,2,0,1,0,0,0
ML-01318,ENGINEERING,Track,4,60.27,56.8,13.6,29,4,0,3,0,7,2,1,0
ML-01319,ENGINEERING,Track,5,72.95,41.63,7.0,41,0,0,0,1,3,2,1,0
ML-01320,ENGINEERING,Track,2,62.97,44.17,18.4,48,0,0,0,1,3,1,0,0
ML-01321,S&T,Point Machine,3,51.99,66.97,25.2,94,0,0,0,0,5,2,2,0
ML-01322,TRD,OHE,4,78.22,44.64,6.7,50,0,0,0,0,2,1,0,0
ML-01323,ENGINEERING,Bridge,2,92.07,26.9,10.6,78,3,1,3,0,1,1,0,1
ML-01324,ENGINEERING,Bridge,3,86.35,31.61,7.1,81,0,0,0,0,2,0,1,0
ML-01325,ENGINEERING,Track,3,72.88,37.94,13.2,46,1,0,3,1,1,1,0,0
ML-01326,ENGINEERING,Point & Crossing,1,54.56,42.54,26.0,55,3,1,2,0,6,2,1,0
ML-01327,ENGINEERING,Point & Crossing,2,50.3,57.14,15.6,77,0,0,0,1,4,2,2,0
ML-01328,TRD,OHE,4,70.6,45.45,11.7,28,2,0,3,0,5,2,2,0
ML-01329,S&T,Signal,4,100.0,32.07,5.7,39,1,0,1,1,7,2,3,0
ML-01330,ENGINEERING,Track,3,77.85,41.79,10.7,57,7,2,1,0,4,1,0,0
ML-01331,S&T,Axle Counter,4,82.98,37.35,9.5,98,3,0,3,0,3,0,1,0
ML-01332,ENGINEERING,Track,5,77.81,50.95,6.5,94,3,2,3,1,4,0,1,0
ML-01333,S&T,Point Machine,4,80.19,39.03,6.6,201,0,0,0,1,4,2,2,0
ML-01334,S&T,Axle Counter,1,74.34,40.92,11.1,108,0,0,0,0,5,1,1,0
ML-01335,TRD,OHE,3,85.49,27.19,10.8,27,0,0,0,0,3,0,0,0
ML-01336,TRD,Section Insulator,3,77.87,42.98,16.0,55,1,0,3,1,8,3,2,0
ML-01337,ENGINEERING,Track,3,70.29,45.79,15.8,128,1,0,3,1,2,1,1,0
ML-01338,TRD,Transformer,1,73.26,33.77,15.6,51,4,1,3,1,2,1,0,0
ML-01339,TRD,Section Insulator,5,48.29,76.95,23.3,78,6,3,2,1,7,5,3,1
ML-01340,TRD,Section Insulator,3,75.13,39.6,8.0,131,1,0,2,1,4,1,0,1
ML-01341,ENGINEERING,Bridge,4,52.89,66.02,28.3,38,2,0,3,1,3,1,2,0
ML-01342,TRD,Section Insulator,4,57.61,57.44,8.7,157,2,2,3,1,3,2,2,1
ML-01343,TRD,Transformer,3,82.67,29.66,8.0,147,3,1,4,0,5,2,1,0
ML-01344,ENGINEERING,Bridge,1,75.05,26.89,7.3,89,3,0,4,0,4,0,2,1
ML-01345,ENGINEERING,Track,1,100.0,14.61,9.1,41,1,0,1,0,3,1,1,0
ML-01346,TRD,Transformer,3,93.22,26.7,4.0,46,0,0,0,0,1,1,0,0
ML-01347,ENGINEERING,Track,4,74.95,46.63,8.0,76,1,0,4,1,2,1,0,0
ML-01348,ENGINEERING,Point & Crossing,2,81.1,40.04,14.9,50,0,0,0,0,4,3,1,0
ML-01349,ENGINEERING,Point & Crossing,3,73.94,42.72,7.6,37,1,1,2,0,3,1,1,0
ML-01350,S&T,Point Machine,3,71.51,35.9,10.8,52,1,1,5,1,3,1,0,0
ML-01351,ENGINEERING,Point & Crossing,2,86.62,24.58,9.7,42,1,0,2,0,3,2,1,0
ML-01352,TRD,Section Insulator,4,81.03,40.69,7.5,118,1,0,3,0,1,0,0,0
ML-01353,S&T,Point Machine,4,96.42,29.63,6.8,57,1,0,3,0,3,1,1,0
ML-01354,TRD,Transformer,2,76.83,38.76,19.6,110,2,1,2,1,2,1,1,0
ML-01355,S&T,Axle Counter,5,70.29,56.66,12.1,50,1,1,3,0,5,3,2,1
ML-01356,TRD,Section Insulator,3,59.82,55.82,20.4,102,0,0,0,1,3,3,0,0
ML-01357,S&T,Signal,2,75.0,53.05,22.1,97,1,0,2,1,2,1,0,0
ML-01358,TRD,Transformer,3,88.81,38.08,11.1,37,0,0,0,0,2,2,0,0
ML-01359,TRD,Transformer,3,61.56,49.74,14.6,177,2,1,3,0,2,1,0,0
ML-01360,S&T,Axle Counter,4,69.47,57.46,15.8,87,3,1,2,0,2,0,1,0
ML-01361,ENGINEERING,Point & Crossing,4,69.33,48.7,5.8,60,1,1,3,1,3,2,2,1
ML-01362,TRD,OHE,5,72.97,66.98,17.7,74,3,3,3,1,5,4,3,1
ML-01363,TRD,Section Insulator,3,75.72,40.67,11.3,20,0,0,0,1,5,3,2,1
ML-01364,ENGINEERING,Bridge,5,83.39,52.22,10.2,145,1,1,3,1,4,4,2,1
ML-01365,ENGINEERING,Track,4,87.71,38.71,6.2,59,1,1,3,0,2,1,0,0
ML-01366,S&T,Axle Counter,4,77.05,38.22,15.4,119,2,0,2,0,2,0,0,0
ML-01367,TRD,OHE,1,62.51,41.35,20.1,26,0,0,0,1,3,0,0,1
ML-01368,S&T,Signal,3,74.63,41.19,19.4,132,1,0,4,0,2,1,0,0
ML-01369,TRD,Transformer,4,70.12,55.84,16.9,74,1,0,3,0,1,1,0,0
ML-01370,ENGINEERING,Point & Crossing,1,69.98,25.21,10.4,158,1,0,3,0,5,2,0,1
ML-01371,ENGINEERING,Track,4,70.32,41.91,14.0,63,2,1,3,1,3,2,2,1
ML-01372,TRD,Section Insulator,2,75.44,30.51,11.6,137,4,0,3,1,4,3,3,0
ML-01373,ENGINEERING,Point & Crossing,4,85.31,29.11,6.6,86,0,0,0,0,5,1,0,0
ML-01374,TRD,Transformer,3,83.32,38.72,7.5,78,1,0,3,0,5,2,1,0
ML-01375,ENGINEERING,Track,3,84.64,36.33,11.9,25,0,0,0,1,2,0,0,0
ML-01376,ENGINEERING,Point & Crossing,3,79.35,32.87,11.0,139,0,0,0,0,2,2,1,0
ML-01377,ENGINEERING,Point & Crossing,2,60.87,56.81,19.4,82,4,1,3,0,3,2,3,0
ML-01378,TRD,OHE,4,66.56,50.47,17.3,44,1,0,3,1,2,2,0,1
ML-01379,TRD,Section Insulator,5,80.06,43.71,7.2,99,1,0,3,1,7,2,2,0
ML-01380,TRD,OHE,4,71.23,51.49,14.0,179,0,0,0,1,2,1,1,0
ML-01381,ENGINEERING,Point & Crossing,5,94.34,35.26,5.5,87,1,0,1,0,1,1,1,0
ML-01382,TRD,Section Insulator,1,82.31,33.13,9.5,92,1,0,3,1,2,1,1,0
ML-01383,TRD,Section Insulator,4,60.12,53.47,13.0,67,4,1,3,1,0,0,0,1
ML-01384,S&T,Signal,1,89.99,13.76,7.8,89,1,0,3,0,2,1,0,0
ML-01385,TRD,Transformer,4,73.26,51.16,11.9,68,0,0,0,0,4,3,2,0
ML-01386,ENGINEERING,Point & Crossing,4,86.73,37.99,6.1,92,1,0,2,1,3,1,2,0
ML-01387,TRD,Transformer,4,81.34,40.21,4.7,62,1,0,2,1,3,0,0,1
ML-01388,S&T,Signal,4,70.47,52.37,8.4,54,4,2,3,1,4,3,3,0
ML-01389,TRD,OHE,4,69.9,47.19,14.0,75,1,0,5,0,4,1,1,0
ML-01390,ENGINEERING,Track,3,88.85,44.85,9.7,119,0,0,0,1,4,1,2,0
ML-01391,TRD,Section Insulator,4,94.57,39.09,9.4,32,2,0,5,0,2,0,1,0
ML-01392,S&T,Axle Counter,3,83.09,27.44,4.1,65,2,0,3,0,3,2,1,0
ML-01393,ENGINEERING,Bridge,3,74.2,42.46,17.1,143,1,0,3,0,5,3,3,1
ML-01394,S&T,Signal,1,89.17,14.08,5.8,115,0,0,0,1,2,1,0,0
ML-01395,ENGINEERING,Track,3,83.64,38.99,6.7,76,0,0,0,0,3,0,1,1
ML-01396,TRD,Transformer,3,78.09,26.37,5.6,119,3,1,2,0,4,2,0,0
ML-01397,S&T,Point Machine,3,74.16,39.22,10.7,39,1,0,2,1,4,0,2,0
ML-01398,S&T,Signal,3,75.18,39.03,13.2,73,0,0,0,0,2,1,0,0
ML-01399,S&T,Point Machine,3,56.57,45.68,9.3,94,4,2,3,0,2,1,1,1
ML-01400,S&T,Axle Counter,5,47.46,85.64,25.5,27,2,1,3,1,5,3,4,1
ML-01401,TRD,OHE,1,75.41,24.79,12.4,112,2,1,3,0,2,0,1,0
ML-01402,TRD,Transformer,3,69.8,40.54,6.2,17,3,0,3,0,5,1,2,0
ML-01403,S&T,Signal,5,45.48,81.81,27.1,50,0,0,0,1,4,3,2,0
ML-01404,ENGINEERING,Point & Crossing,3,89.57,30.83,5.7,70,2,1,3,0,1,0,1,1
ML-01405,TRD,OHE,1,87.07,6.8,3.8,68,0,0,0,0,0,0,0,0
ML-01406,ENGINEERING,Bridge,2,86.02,12.79,1.3,18,1,0,4,1,1,0,0,1
ML-01407,S&T,Point Machine,4,84.66,40.84,6.3,258,3,1,4,0,2,0,0,0
ML-01408,S&T,Axle Counter,3,100.0,20.56,3.2,115,1,0,1,1,1,0,1,0
ML-01409,ENGINEERING,Track,4,69.03,42.5,8.3,131,2,1,1,1,3,2,0,0
ML-01410,TRD,OHE,2,78.26,16.61,9.7,118,1,0,5,0,1,0,0,0
ML-01411,S&T,Signal,4,65.93,50.91,9.3,57,2,0,5,1,1,0,1,0
ML-01412,ENGINEERING,Track,2,74.78,40.43,22.2,102,2,0,4,1,7,2,0,0
ML-01413,S&T,Point Machine,2,98.04,18.34,10.7,83,1,0,3,0,3,2,0,0
ML-01414,TRD,OHE,3,74.56,54.62,18.9,46,3,0,2,0,4,2,2,0
ML-01415,ENGINEERING,Track,2,95.35,20.13,3.5,66,2,0,2,1,1,0,0,0
ML-01416,TRD,Section Insulator,3,60.16,65.76,22.8,111,3,0,2,1,4,2,4,0
ML-01417,TRD,OHE,3,73.72,51.62,21.6,133,1,0,3,0,4,3,2,0
ML-01418,TRD,Transformer,1,70.36,28.93,10.4,68,3,1,3,0,4,1,1,0
ML-01419,ENGINEERING,Point & Crossing,4,84.23,29.99,7.3,110,1,0,4,0,2,0,1,0
ML-01420,ENGINEERING,Point & Crossing,4,78.39,40.85,10.2,34,3,0,1,0,3,0,1,0
ML-01421,TRD,Transformer,4,72.25,42.91,10.6,69,3,3,3,0,3,2,1,0
ML-01422,ENGINEERING,Point & Crossing,4,82.76,43.45,11.4,61,0,0,0,0,0,0,0,1
ML-01423,TRD,OHE,4,76.2,52.05,8.9,68,0,0,0,1,0,0,0,0
ML-01424,TRD,Transformer,2,78.65,37.51,15.6,143,0,0,0,0,1,1,0,0
ML-01425,S&T,Axle Counter,5,72.84,53.44,15.9,206,3,1,5,0,6,4,2,1
ML-01426,TRD,Section Insulator,5,71.59,50.02,9.3,163,0,0,0,0,4,3,1,0
ML-01427,TRD,OHE,1,88.67,22.49,5.9,77,2,1,3,0,2,0,1,1
ML-01428,S&T,Point Machine,3,82.37,31.06,8.0,135,1,0,3,1,2,2,1,0
ML-01429,S&T,Signal,4,53.4,62.78,16.1,63,4,2,3,0,3,2,1,0
ML-01430,S&T,Axle Counter,5,81.19,48.13,9.6,55,2,1,2,1,2,2,2,0
ML-01431,ENGINEERING,Point & Crossing,4,79.3,49.07,10.2,225,2,1,3,0,3,0,1,0
ML-01432,S&T,Axle Counter,4,80.62,37.01,5.9,32,0,0,0,1,2,1,0,0
ML-01433,S&T,Point Machine,1,86.75,14.82,8.6,140,2,0,3,0,2,0,0,0
ML-01434,S&T,Axle Counter,3,62.97,49.81,15.3,109,3,2,2,0,4,2,1,1
ML-01435,TRD,OHE,2,76.99,38.35,9.7,80,1,1,2,1,4,1,2,0
ML-01436,TRD,OHE,1,84.22,19.05,12.3,261,0,0,0,0,2,0,0,0
ML-01437,ENGINEERING,Track,3,100.0,16.42,3.9,40,0,0,0,0,1,1,0,0
ML-01438,ENGINEERING,Track,4,84.12,31.63,3.9,171,1,0,3,1,2,1,1,0
ML-01439,S&T,Point Machine,2,73.2,38.37,15.6,53,3,0,4,1,1,0,1,1
ML-01440,TRD,OHE,1,86.16,25.38,11.4,38,0,0,0,0,1,1,0,0
ML-01441,TRD,Section Insulator,2,77.96,32.3,10.7,79,1,0,3,0,3,0,0,0
ML-01442,ENGINEERING,Bridge,3,77.4,39.66,10.6,65,0,0,0,0,2,1,1,0
ML-01443,S&T,Point Machine,3,68.96,44.39,10.7,87,3,1,3,1,8,6,5,0
ML-01444,ENGINEERING,Track,4,54.15,71.14,23.9,31,3,0,4,1,2,1,1,0
ML-01445,ENGINEERING,Bridge,3,77.57,39.35,19.6,85,2,0,1,0,2,1,0,0
ML-01446,ENGINEERING,Point & Crossing,5,51.14,73.14,18.6,45,3,2,2,1,4,2,3,0
ML-01447,ENGINEERING,Bridge,2,58.0,52.98,12.7,81,1,0,2,1,2,1,0,1
ML-01448,TRD,OHE,5,70.18,56.77,8.4,126,0,0,0,1,5,2,2,0
ML-01449,S&T,Signal,4,73.92,45.99,12.2,152,3,1,3,1,2,2,0,0
ML-01450,TRD,Section Insulator,4,76.92,46.32,5.8,25,2,1,1,0,3,1,0,0
ML-01451,ENGINEERING,Bridge,5,92.44,33.25,4.3,74,2,0,2,0,1,1,0,0
ML-01452,S&T,Point Machine,4,56.14,64.01,30.0,61,2,2,3,0,3,1,2,0
ML-01453,S&T,Signal,2,86.13,33.29,13.1,45,1,0,2,0,4,1,0,0
ML-01454,ENGINEERING,Bridge,4,93.18,39.48,4.3,110,0,0,0,0,5,2,0,0
ML-01455,ENGINEERING,Track,4,82.73,48.41,9.8,36,1,0,3,1,3,2,1,0
ML-01456,S&T,Signal,3,67.14,43.2,12.5,111,0,0,0,0,4,1,1,0
ML-01457,ENGINEERING,Track,4,72.66,45.6,12.6,42,4,2,3,1,2,1,0,1
ML-01458,S&T,Point Machine,2,77.55,36.13,12.3,121,0,0,0,0,5,1,4,0
ML-01459,ENGINEERING,Point & Crossing,3,54.62,56.33,22.7,141,2,0,2,1,1,1,1,1
ML-01460,TRD,Transformer,2,76.43,38.18,13.1,16,3,2,1,0,1,0,0,1
ML-01461,S&T,Axle Counter,3,88.35,36.98,14.7,76,0,0,0,1,3,1,1,0
ML-01462,ENGINEERING,Point & Crossing,5,68.64,58.47,12.2,41,2,2,5,0,2,2,2,0
ML-01463,ENGINEERING,Point & Crossing,4,66.85,57.35,12.7,136,3,0,5,1,4,0,3,0
ML-01464,TRD,OHE,1,98.55,5.23,5.1,86,0,0,0,0,1,0,1,0
ML-01465,ENGINEERING,Point & Crossing,4,81.87,45.69,6.9,57,1,0,1,1,3,2,0,1
ML-01466,S&T,Axle Counter,3,88.3,27.31,6.0,82,1,1,3,0,1,1,0,0
ML-01467,ENGINEERING,Bridge,1,90.6,21.26,7.9,70,0,0,0,1,3,1,0,1
ML-01468,TRD,OHE,4,66.67,48.01,6.8,48,2,2,2,0,7,4,3,0
ML-01469,ENGINEERING,Track,5,80.98,50.49,7.7,205,2,1,5,0,3,1,1,0
ML-01470,S&T,Point Machine,4,89.02,37.22,13.6,102,0,0,0,1,1,0,0,0
ML-01471,ENGINEERING,Bridge,5,47.83,79.62,20.3,220,2,2,3,1,5,4,3,1
ML-01472,S&T,Point Machine,1,55.55,54.59,30.0,114,0,0,0,1,1,0,0,1
ML-01473,S&T,Point Machine,3,75.64,45.36,9.7,52,1,0,3,0,6,3,4,1
ML-01474,TRD,OHE,5,70.82,48.25,5.5,98,1,0,3,1,4,3,2,0
ML-01475,ENGINEERING,Track,4,87.0,35.91,7.4,35,2,1,3,1,5,1,2,0
ML-01476,ENGINEERING,Point & Crossing,3,94.76,26.29,7.0,59,1,0,3,0,6,1,0,0
ML-01477,ENGINEERING,Track,3,80.91,36.17,9.6,57,0,0,0,1,6,2,2,0
ML-01478,ENGINEERING,Track,3,83.97,45.27,18.2,42,1,0,3,0,2,0,1,0
ML-01479,TRD,Transformer,2,77.32,30.92,13.2,161,0,0,0,1,3,3,0,0
ML-01480,TRD,Section Insulator,2,54.59,48.83,24.1,33,1,0,3,1,1,1,1,1
ML-01481,S&T,Axle Counter,3,72.12,43.71,9.2,118,0,0,0,0,1,1,0,0
ML-01482,TRD,Section Insulator,3,89.22,32.62,3.4,154,2,0,3,0,4,0,1,0
ML-01483,S&T,Axle Counter,2,100.0,15.16,5.3,67,0,0,0,0,0,0,0,0
ML-01484,TRD,Section Insulator,4,79.9,40.56,13.7,33,2,0,3,1,2,0,0,1
ML-01485,S&T,Point Machine,4,56.76,60.93,13.2,158,1,0,3,0,2,1,1,1
ML-01486,ENGINEERING,Track,5,68.18,60.63,5.7,141,2,2,3,0,5,3,1,0
ML-01487,S&T,Point Machine,1,77.53,28.44,15.7,137,0,0,0,0,6,1,4,1
ML-01488,ENGINEERING,Track,3,84.85,39.7,9.8,68,0,0,0,0,2,1,1,0
ML-01489,TRD,OHE,3,77.12,32.0,10.0,89,2,0,3,1,5,1,0,0
ML-01490,S&T,Axle Counter,1,79.38,32.74,6.7,81,1,0,3,0,7,3,2,0
ML-01491,ENGINEERING,Track,4,75.36,50.28,10.0,158,1,0,5,1,4,2,0,0
ML-01492,ENGINEERING,Bridge,2,83.75,20.28,4.3,27,1,0,3,0,5,2,1,0
ML-01493,S&T,Point Machine,2,93.49,23.09,8.2,117,0,0,0,0,1,1,0,0
ML-01494,TRD,Section Insulator,3,53.81,57.29,19.6,34,3,1,5,0,3,2,1,0
ML-01495,S&T,Point Machine,2,72.89,36.0,10.9,155,0,0,0,0,2,1,0,0
ML-01496,S&T,Signal,4,68.85,54.25,15.3,73,1,0,4,0,2,1,1,1
ML-01497,TRD,Transformer,2,97.29,14.6,3.0,100,1,0,3,1,2,0,0,0
ML-01498,ENGINEERING,Point & Crossing,1,82.36,20.57,10.6,121,0,0,0,0,1,0,0,1
ML-01499,TRD,Transformer,2,55.15,58.29,26.3,47,2,1,3,0,4,3,0,0
ML-01500,S&T,Point Machine,2,88.22,24.3,10.4,94,1,0,3,0,1,0,0,0
ML-01501,ENGINEERING,Track,4,58.46,61.93,25.6,67,2,0,2,0,4,3,1,0
ML-01502,ENGINEERING,Track,4,59.01,45.38,10.7,18,3,0,3,0,2,0,0,0
ML-01503,S&T,Point Machine,5,83.15,43.84,6.6,93,2,1,3,1,1,0,0,0
ML-01504,TRD,OHE,2,59.27,53.64,17.6,53,2,1,3,0,1,1,1,0
ML-01505,ENGINEERING,Bridge,4,85.45,46.86,19.6,32,2,0,2,1,3,3,2,0
ML-01506,S&T,Point Machine,5,68.56,65.54,10.0,41,3,1,3,0,3,2,1,0
ML-01507,S&T,Axle Counter,3,90.65,27.78,6.9,163,2,1,3,0,3,0,0,0
ML-01508,ENGINEERING,Bridge,3,79.72,45.08,13.7,169,2,1,1,0,4,0,1,0
ML-01509,ENGINEERING,Bridge,3,84.69,38.54,8.3,216,1,0,3,0,3,2,0,0
ML-01510,ENGINEERING,Track,2,78.26,30.98,11.8,58,0,0,0,1,3,1,0,0
ML-01511,ENGINEERING,Point & Crossing,2,81.17,27.41,6.9,74,0,0,0,1,3,2,1,0
ML-01512,S&T,Point Machine,4,74.43,36.32,6.3,112,1,0,1,0,1,1,0,0
ML-01513,ENGINEERING,Bridge,3,100.0,21.92,8.9,87,0,0,0,1,2,0,0,0
ML-01514,S&T,Point Machine,5,73.72,55.67,11.8,28,3,1,4,1,7,4,4,1
ML-01515,ENGINEERING,Bridge,3,62.01,53.21,21.2,159,0,0,0,0,5,1,4,0
ML-01516,ENGINEERING,Point & Crossing,2,75.58,32.04,5.8,112,2,0,2,0,2,1,1,0
ML-01517,TRD,Section Insulator,2,65.35,42.06,12.7,50,0,0,0,1,2,0,1,0
ML-01518,TRD,Section Insulator,2,66.49,43.2,19.9,182,2,1,3,1,6,2,3,0
ML-01519,TRD,Section Insulator,3,74.3,42.58,14.8,45,1,0,3,0,4,2,3,0
ML-01520,S&T,Signal,5,62.19,65.77,15.2,46,0,0,0,0,5,3,1,1
ML-01521,ENGINEERING,Point & Crossing,5,93.9,32.69,7.3,106,2,0,3,0,6,4,4,0
ML-01522,TRD,OHE,4,76.0,48.57,9.5,109,1,0,3,0,3,1,1,0
ML-01523,ENGINEERING,Track,4,82.98,39.06,6.9,100,2,0,2,1,2,1,0,0
ML-01524,TRD,Section Insulator,4,81.48,31.71,8.7,126,1,1,2,1,2,1,0,0
ML-01525,ENGINEERING,Bridge,3,74.79,43.21,11.7,69,1,0,2,0,0,0,0,0
ML-01526,ENGINEERING,Track,3,76.43,38.34,9.3,55,1,0,1,0,2,1,0,0
ML-01527,TRD,Section Insulator,3,68.27,38.44,17.2,45,4,2,2,1,2,2,1,0
ML-01528,TRD,OHE,3,89.61,32.99,10.0,99,0,0,0,0,3,2,1,0
ML-01529,TRD,Section Insulator,5,71.23,53.96,6.4,52,0,0,0,0,2,2,0,0
ML-01530,ENGINEERING,Point & Crossing,2,90.13,23.31,9.3,56,4,1,3,1,2,2,0,0
ML-01531,ENGINEERING,Point & Crossing,3,67.55,54.7,15.6,40,4,1,3,0,3,1,0,1
ML-01532,TRD,OHE,2,63.25,58.9,18.9,74,3,1,3,0,6,4,2,0
ML-01533,TRD,Section Insulator,5,74.34,50.36,10.3,54,2,0,2,0,2,1,1,0
ML-01534,S&T,Signal,3,66.51,43.32,5.8,97,2,0,4,0,2,1,0,1
